Nodes,PayloadSize,ServiceRate,ArrivalRate,TrafficIntensity,AvgDelayMs,DropRate
5,1,8.65,10,1.15607,5343.3,0
10,1,8.65,5,0.578035,5293.3,0
15,1,8.65,3.33333,0.385356,5239.46,0
20,1,8.65,2.5,0.289017,5193.3,0
50,1,8.65,1,0.115607,4893.3,0
100,1,8.65,0.5,0.0578035,3596.2,0
200,1,8.65,0.25,0.0289017,3596.2,0
5,8,7.22,10,1.38504,4008.06,18.9873
10,8,7.22,5,0.692521,3408.06,0
15,8,7.22,3.33333,0.461681,2805.24,0
20,8,7.22,2.5,0.34626,2208.06,0
50,8,7.22,1,0.138504,660.009,0
100,8,7.22,0.5,0.0692521,660.009,0
200,8,7.22,0.25,0.034626,660.009,0
5,32,4.6,10,2.17391,3637.51,31.6456
10,32,4.6,5,1.08696,2526.81,0
15,32,4.6,3.33333,0.724638,1575.7,0
20,32,4.6,2.5,0.543478,616.104,0
50,32,4.6,1,0.217391,423.41,0
100,32,4.6,0.5,0.108696,423.41,0
200,32,4.6,0.25,0.0543478,423.41,0
5,64,3.1,10,3.22581,3653.58,44.3038
10,64,3.1,5,1.6129,2803.58,0
15,64,3.1,3.33333,1.07527,1952.58,0
20,64,3.1,2.5,0.806452,1103.58,0
50,64,3.1,1,0.322581,475.85,0
100,64,3.1,0.5,0.16129,475.85,0
200,64,3.1,0.25,0.0806452,475.85,0
